initial | La historia comienza.

bedRoom_name | dormitorio
bedRoom_description | El dormitorio es una modesta estancia con una cama, una mesita con un cajón y una pequeña ventana.

corridor_name | pasillo
corridor_description | El pasillo está completamente vacío, salvo por un cuadro.

lampara_name | lampara
lampara_description | La lámpara es de tipo plafón de forma rectangular. Emite una luz blanquecina.

bed_name | cama
bed_description | Se trata de una cama para una sola persona.

table_name | mesa
table_description | Es una mesa cuadrada de madera.

window_name | ventana
window_description | Es una pequeña ventana.

rock_name | piedra
rock_description | Es una simple piedra que cabe en la mano.

mochila_name | mochila
mochila_description | Es una mochila vieja de color marrón.

bolsa_name | bolsa
bolsa_description | Es una bolsa de tela de color naranja.

cuadro_name | cuadro
cuadro_description | Es un cuadro de unos perros jugando al poker.

humo_name | humo
humo_description | Hay una nuve de humo gris flotando en la estancia.

mirar_mapped_1_interaction_description | {main} mira el lugar donde se encuentra.

mirar_item_1_interaction_description | {main} mira {thing}.

coger_1_interaction_description | {main} coge {thing}.
coger_good | {0} coge {1} y se la guarda.
coger_big | {0} no puede coger {1} porque es demasiado grande.
coger_heavy | {0} no puede coger {1} porque pesa demasiado.
coger_nobag | {0} no puede coger {1} porque no tiene donde guardar cosas.

dejar_1_interaction_description | {main} deja {thing}.
dejar | {0} deja {1} en el suelo.

ir_1_interaction_description | {main} va hacia {place}.
ir | {0} se desplaza hacia {1}.
ir_door | {0} no puede ir hacia {1} sin antes abrir la puerta.

saludo_1_interaction_description | {main} saluda a {saluted}.
saludo_11_interaction_description | {saluted} saluda a {main}.
saludo_text | Buenas {0}.
respuesta_text | Hola {0}.

pedirse_1_interaction_description | {main} se tira un cuesco.
pedirse_text | {0} levanta la pierna y se tira un sonoro pedo.
pedirse_conversation | ¡Ups! Perdón.

sacamoco_1_interaction_description | {main} se saca una burilla.
sacamoco_text | {0} se saca una burilla, hace una pelotilla y la proyecta contra el suelo con los dedos.

estornudo_1_interaction_description | {main} estornuda.
estornudo_1_text | {0} estornuda sonoramente.
estornudo_11_interaction_description | {main} se limpia con la manga izquierda.
estornudo_2_text | {0} se limpia la nariz con el dorso de la manga izquierda.
estornudo_12_interaction_description | {main} se limpia con la manga derecha.
estornudo_3_text | {0} se limpia la nariz con el dorso de la manga derecha.
